node_id,lat,lon,stop_count,in_degree_weighted,out_degree_weighted,betweenness,closeness,eigenvector
2669,20.74332,-103.34692,1,1,2,0.0003279403229053711,0.024589825612234335,5.16592737998329e-24
2670,20.74538,-103.35301,2,3,4,0.0016433837912393878,0.024704004794002334,1.1698155920923317e-24
2671,20.74496,-103.35564,1,2,1,0.0013279062202841258,0.02399547426453526,1.2301414136383098e-25
2672,20.74443,-103.35785,1,1,1,0.0013272830826866202,0.023399349430549728,1.2025720877162215e-26
2673,20.74328,-103.357875,2,2,2,0.0030140032613888874,0.026543513944828165,3.3905780435993773e-23
2674,20.74366,-103.3559,1,1,1,0.0012434427513858862,0.025827235312363302,3.351680881301241e-24
2675,20.74363,-103.35351,1,1,1,0.0012428196137883808,0.025137930154628188,3.379525080123461e-25
2676,20.743745,-103.35962,2,2,2,0.0034496330909177014,0.027191787491499843,3.4963396919037147e-22
2677,20.743115,-103.36248499999999,2,2,2,0.003904410239351683,0.028039343911999068,3.636874042319176e-21
2678,20.741915,-103.363405,2,3,3,0.004359527281020668,0.02869680863347311,3.846781255481232e-20
2679,20.736535,-103.36113499999999,2,4,5,0.016188973161010485,0.030684321638061125,1.0830904764711134e-18
2680,20.72553,-103.37390500000001,2,3,2,0.002752587597756599,0.029434578837100635,1.9112301410439513e-18
2681,20.721815,-103.37426500000001,2,3,3,0.005881729692502744,0.030834221704115768,1.4538535151295523e-16
2682,20.68974,-103.36364,1,1,1,0.0007056750047386781,0.029173310433457215,2.4419403995858005e-14
2683,20.68973,-103.36208,1,1,1,0.0007050518671411727,0.02848918922713101,2.1287711042357996e-15
2684,20.68884,-103.36098,1,1,1,0.0007044287295436672,0.027706267299152706,1.8558673100163754e-16
2685,20.68689,-103.36107,1,1,1,0.0007038055919461617,0.027002088006210116,1.618046859517323e-17
2686,20.685450000000003,-103.361555,2,2,2,0.0009400313902732299,0.032861671172096533,9.095690384484865e-13
2687,20.64376,-103.34935,1,1,2,0.0007051085160136732,0.030948137927532576,8.051727651491625e-13
2688,20.64166,-103.34697,2,2,1,0.0007044853784161678,0.029816615437585646,1.397964859126401e-13
2689,20.6452,-103.35011,2,1,2,2.9740658062760377e-05,0.027143899806182228,3.9246927109006824e-16
2690,20.673855000000003,-103.35109,2,4,2,0.004087584368582036,0.034700193199760754,4.5124926646017237e-13
2691,20.72402,-103.37406,1,3,3,0.004473212126650412,0.02998406690475637,1.6711026965661033e-17
2692,20.728160000000003,-103.37333000000001,2,3,3,0.0021454816311687838,0.028611132173641172,2.252711367960468e-19
2693,20.72984,-103.36201,1,1,1,0.000848543461184929,0.028221336521029608,1.3843336157908355e-20
2694,20.6281,-103.24123,1,2,1,0.00892865539029317,0.020987450329299794,1.2392497817375603e-21
2695,20.62849,-103.24269,1,1,2,0.008928032252695664,0.02063037923708142,1.5864444521810503e-22
2696,20.65189,-103.28755,1,2,1,0.0015905587176326752,0.02868546984981474,1.7925077899303538e-20
2697,20.65029,-103.27641,1,1,1,0.0010396201081291018,0.027575707928276464,7.846113671985872e-23
